"endTime","artistName","trackName","msPlayed"
"2019-06-18 23:47","Khamsin","Leaving","270687"
"2019-06-18 23:51","YNW Melly","Mama Cry","231297"
"2019-06-18 23:53","YNW Melly","Murder On My Mind","169405"
"2019-06-18 23:57","Vandelux","Broken Man","221739"
"2019-06-19 00:01","j ember","Lo-Fi Sky","226533"
"2019-06-19 00:07","j ember","something more","196022"
"2019-06-19 00:09","Kwamie Liv","Lost in the Girl","161695"
"2019-06-19 00:10","Lewis Del Mar","Wave(s) - Demo Taped Remix","614"
"2019-06-19 00:10","Prince of Eden","whoami","937"
"2019-06-19 00:10","EMI","Sip It Slow","51252"
"2019-06-19 00:12","Khamsin","Leaving","101602"
"2019-06-19 00:25","A R I Z O N A","Let Me Touch Your Fire","186433"
"2019-06-19 01:22","Lord Huron","The Night We Met","208226"
"2019-06-19 01:26","Oliver Riot","Alcatraz","268310"
"2019-06-19 01:30","j ember","something more","196022"
"2019-06-19 01:30","Lord Huron","The Night We Met","7844"
"2019-06-19 01:34","Prince of Eden","whoami","258000"
"2019-06-19 01:38","j ember","Lo-Fi Sky","226533"
"2019-06-19 01:41","Khamsin","Leaving","212021"
"2019-06-19 01:42","Clams Casino","Into the Fire","0"
"2019-06-19 01:42","o k h o","Fetti","17216"
"2019-06-19 01:42","Young Lungs","Demons","444"
"2019-06-19 01:42","Young Lungs","Demons","1078"
"2019-06-19 01:42","Lewis Del Mar","Wave(s) - Demo Taped Remix","5404"
"2019-06-19 01:42","EMI","Sip It Slow","1302"
"2019-06-19 01:42","EMI","Sip It Slow","20799"
"2019-06-19 01:42","Majik","X","9490"
"2019-06-19 01:47","Kidswaste","Tonight","206517"
"2019-06-19 01:51","The Weeknd","Call Out My Name","228373"
"2019-06-19 01:56","Vancouver Sleep Clinic","Empire","288813"
"2019-06-19 02:00","Amber Run","5AM","257906"
"2019-06-19 02:05","6ix9ine","GOTTI","277978"
"2019-06-19 02:07","ODESZA","Sundara","136000"
"2019-06-19 02:11","Jauz","Ghost","201333"
"2019-06-19 02:15","Yoke Lore","Fake You (bared)","263732"
"2019-06-19 02:16","A R I Z O N A","Nostalgic","89335"
"2019-06-19 02:23","Red Hot Chili Peppers","Snow (Hey Oh)","364856"
"2019-06-19 02:33","BANNERS","Start A Riot","3735"
"2019-06-19 11:33","BANNERS","Start A Riot","0"
"2019-06-19 11:33","Michl","Die Trying","995"
"2019-06-19 11:33","swim good now","Friday Nite Lites (feat. Merival, Ryan Hemsworth & Dan Mangan)","2467"
"2019-06-19 11:33","Aquilo","Silhouette","771"
