Artist,Song,Album,Date
"Tove Lo, Hippie Sabotage",Queen Of The Clouds,Habits (Stay High) - Hippie Sabotage Remix,"December 25, 2017 at 02:22PM"
Wrabel,The Village,The Village,"December 29, 2017 at 08:57AM"
Ed Prosek,Flesh & Blood Part 1,Tear It All Down,"December 29, 2017 at 08:59AM"
Atlas Genius,Inanimate Objects,Balladino,"December 29, 2017 at 09:01AM"
BANNERS,Empires On Fire,Into The Storm,"December 29, 2017 at 09:04AM"
Judah & the Lion,Folk Hop N' Roll (Deluxe),Going To Mars,"December 29, 2017 at 11:46AM"
Christian Akridge,Hope,Safe and Sound,"December 29, 2017 at 12:12PM"
MRKTS,Lay Me Back Down,Lay Me Back Down,"December 29, 2017 at 12:23PM"
Jaymes Young,Feel Something,Stone,"December 29, 2017 at 12:37PM"
Smallpools,THE SCIENCE OF LETTING GO,Mother,"December 29, 2017 at 12:38PM"
Andy Kong,Meteor Showers,Ticket Home,"December 29, 2017 at 12:42PM"
Jeremy Zucker,Peace Signs,Peace Signs,"December 29, 2017 at 12:46PM"
Of Monsters and Men,Beneath The Skin,Black Water,"December 29, 2017 at 12:50PM"
Jeremy Zucker,Breathe,Icarus,"December 29, 2017 at 12:58PM"
Dean Lewis,Same Kind Of Different,Let Go,"December 29, 2017 at 01:06PM"
Papa Roach,Infest,Last Resort,"December 30, 2017 at 10:35AM"
Alfie Arcuri,If They Only Knew,If They Only Knew,"December 30, 2017 at 12:44PM"
Alfie Arcuri,If They Only Knew (Stripped Back),If They Only Knew - Stripped Back,"December 30, 2017 at 12:44PM"
Joji,In Tongues,Will He,"December 30, 2017 at 02:24PM"
Joji,In Tongues,Pills,"December 30, 2017 at 02:27PM"
Joji,In Tongues,Demons,"December 30, 2017 at 02:33PM"
Joji,In Tongues,Window,"December 30, 2017 at 02:37PM"
Joji,In Tongues,Bitter Fuck,"December 30, 2017 at 02:41PM"
Miley Cyrus,Bangerz (Deluxe Version),Wrecking Ball,"December 30, 2017 at 11:24PM"
"mansionz, Spark Master Tape",Mansionz,STFU,"December 31, 2017 at 12:02AM"
The Nor'easters,"Collective, Vol. I",Who's That Girl (Intro),"December 31, 2017 at 12:47AM"
The Nor'easters,"Collective, Vol. I",715 – CRΣΣKS,"December 31, 2017 at 12:47AM"
The Nor'easters,RISE,Writing's On The Wall,"December 31, 2017 at 12:48AM"
Wrabel,The Village,The Village,"December 31, 2017 at 12:44PM"
Jimmy Eat World,Bleed American (Deluxe Edition),The Middle,"January 2, 2018 at 05:50AM"
"Mark Ronson, Kevin Parker",Uptown Special,Daffodils,"January 2, 2018 at 02:27PM"
10cm,4,Help,"January 4, 2018 at 01:12PM"
Mount Eerie,A Crow Looked at Me,Ravens,"January 7, 2018 at 08:31PM"
Joey Bada$$,ALL-AMERIKKKAN BADA$$,DEVASTATED,"January 8, 2018 at 02:31AM"
"Migos, Nicki Minaj, Cardi B",MotorSport,MotorSport,"January 8, 2018 at 02:33AM"
Christian Burrows,Two Again,Two Again,"January 9, 2018 at 01:51AM"
Skizzy Mars,Alone Together,Girl On A Train,"January 9, 2018 at 02:52PM"
Hayden Calnin,Cut Love Pt. 2,Dinosaur Stampede,"January 9, 2018 at 03:20PM"
Marilyn Manson,Smells Like Children,Sweet Dreams (Are Made Of This),"January 10, 2018 at 12:55AM"
Marilyn Manson,Antichrist Superstar,The Beautiful People,"January 10, 2018 at 12:59AM"
10cm,4,Everything,"January 11, 2018 at 03:11AM"
Adam Jensen,The Mystic,The Mystic,"January 11, 2018 at 03:24AM"
Adam Jensen,Tombstone,Tombstone,"January 11, 2018 at 03:29AM"
Adam Jensen,Drugs,Drugs,"January 11, 2018 at 10:40PM"
Adam Jensen,Marijuana Breath,Marijuana Breath,"January 11, 2018 at 10:45PM"
Adam Jensen,Street Fight,Street Fight,"January 12, 2018 at 12:50AM"
Nothing But Thieves,Nothing But Thieves (Track by Track),If I Get High,"January 12, 2018 at 01:01AM"
Adam Jensen,You Don't Love Me Like Before,You Don't Love Me Like Before,"January 12, 2018 at 01:06AM"
Adam Jensen,Sandcastles,Sandcastles,"January 12, 2018 at 01:09AM"
Adam Jensen,Ritual,Ritual,"January 12, 2018 at 01:15AM"
Adam Jensen,Numb,Numb,"January 12, 2018 at 01:18AM"
"MOONZz, BLU J",Gdbye,Gdbye,"January 12, 2018 at 01:25AM"
EDEN,i think you think too much of me,Circles,"January 12, 2018 at 01:30AM"
Eden Project,Times Like These,Times Like These,"January 12, 2018 at 01:39AM"
Amber Run,Fickle Game,Fickle Game,"January 12, 2018 at 02:06AM"
Stephen,Sincerely,Sincerely,"January 12, 2018 at 02:11AM"
